"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Ilman lämpötila [°C]"
"Oulu Vihreäsaari satama","2025","11","1","00:00","2.7"
"Oulu Vihreäsaari satama","2025","11","1","00:10","2.4"
"Oulu Vihreäsaari satama","2025","11","1","00:20","2.3"
"Oulu Vihreäsaari satama","2025","11","1","00:30","2"
"Oulu Vihreäsaari satama","2025","11","1","00:40","2.1"
"Oulu Vihreäsaari satama","2025","11","1","00:50","2.2"
"Oulu Vihreäsaari satama","2025","11","1","01:00","2.5"
"Oulu Vihreäsaari satama","2025","11","1","01:10","2.4"
"Oulu Vihreäsaari satama","2025","11","1","01:20","2.2"
"Oulu Vihreäsaari satama","2025","11","1","01:30","2.1"
"Oulu Vihreäsaari satama","2025","11","1","01:40","2.1"
"Oulu Vihreäsaari satama","2025","11","1","01:50","2.1"
"Oulu Vihreäsaari satama","2025","11","1","02:00","2.1"
"Oulu Vihreäsaari satama","2025","11","1","02:10","2.2"
"Oulu Vihreäsaari satama","2025","11","1","02:20","2.5"
"Oulu Vihreäsaari satama","2025","11","1","02:30","2.5"
"Oulu Vihreäsaari satama","2025","11","1","02:40","2.7"
"Oulu Vihreäsaari satama","2025","11","1","02:50","2.7"
"Oulu Vihreäsaari satama","2025","11","1","03:00","2.5"
"Oulu Vihreäsaari satama","2025","11","1","03:10","2.5"
"Oulu Vihreäsaari satama","2025","11","1","03:20","2.7"
"Oulu Vihreäsaari satama","2025","11","1","03:30","2.7"
"Oulu Vihreäsaari satama","2025","11","1","03:40","2.7"
"Oulu Vihreäsaari satama","2025","11","1","03:50","2.7"
"Oulu Vihreäsaari satama","2025","11","1","04:00","2.7"
"Oulu Vihreäsaari satama","2025","11","1","04:10","2.7"
"Oulu Vihreäsaari satama","2025","11","1","04:20","2.8"
"Oulu Vihreäsaari satama","2025","11","1","04:30","2.7"
"Oulu Vihreäsaari satama","2025","11","1","04:40","2.8"
"Oulu Vihreäsaari satama","2025","11","1","04:50","2.9"
"Oulu Vihreäsaari satama","2025","11","1","05:00","2.8"
"Oulu Vihreäsaari satama","2025","11","1","05:10","2.9"
"Oulu Vihreäsaari satama","2025","11","1","05:20","2.9"
"Oulu Vihreäsaari satama","2025","11","1","05:30","2.8"
"Oulu Vihreäsaari satama","2025","11","1","05:40","3"
"Oulu Vihreäsaari satama","2025","11","1","05:50","2.8"
"Oulu Vihreäsaari satama","2025","11","1","06:00","3"
"Oulu Vihreäsaari satama","2025","11","1","06:10","2.9"
"Oulu Vihreäsaari satama","2025","11","1","06:20","3"
"Oulu Vihreäsaari satama","2025","11","1","06:30","3"
"Oulu Vihreäsaari satama","2025","11","1","06:40","3"
"Oulu Vihreäsaari satama","2025","11","1","06:50","3"
"Oulu Vihreäsaari satama","2025","11","1","07:00","3"
"Oulu Vihreäsaari satama","2025","11","1","07:10","2.9"
"Oulu Vihreäsaari satama","2025","11","1","07:20","2.9"
"Oulu Vihreäsaari satama","2025","11","1","07:30","2.9"
"Oulu Vihreäsaari satama","2025","11","1","07:40","2.9"
"Oulu Vihreäsaari satama","2025","11","1","07:50","3"
"Oulu Vihreäsaari satama","2025","11","1","08:00","2.9"
"Oulu Vihreäsaari satama","2025","11","1","08:10","2.8"
"Oulu Vihreäsaari satama","2025","11","1","08:20","2.9"
"Oulu Vihreäsaari satama","2025","11","1","08:30","2.9"
"Oulu Vihreäsaari satama","2025","11","1","08:40","3"
"Oulu Vihreäsaari satama","2025","11","1","08:50","3"
"Oulu Vihreäsaari satama","2025","11","1","09:00","3.2"
"Oulu Vihreäsaari satama","2025","11","1","09:10","3.2"
"Oulu Vihreäsaari satama","2025","11","1","09:20","3.3"
"Oulu Vihreäsaari satama","2025","11","1","09:30","3.4"
"Oulu Vihreäsaari satama","2025","11","1","09:40","3.4"
"Oulu Vihreäsaari satama","2025","11","1","09:50","3.5"
"Oulu Vihreäsaari satama","2025","11","1","10:00","3.6"
"Oulu Vihreäsaari satama","2025","11","1","10:10","3.6"
"Oulu Vihreäsaari satama","2025","11","1","10:20","3.6"
"Oulu Vihreäsaari satama","2025","11","1","10:30","3.6"
"Oulu Vihreäsaari satama","2025","11","1","10:40","3.7"
"Oulu Vihreäsaari satama","2025","11","1","10:50","3.7"
"Oulu Vihreäsaari satama","2025","11","1","11:00","3.9"
"Oulu Vihreäsaari satama","2025","11","1","11:10","3.7"
"Oulu Vihreäsaari satama","2025","11","1","11:20","4"
"Oulu Vihreäsaari satama","2025","11","1","11:30","3.9"
"Oulu Vihreäsaari satama","2025","11","1","11:40","3.9"
"Oulu Vihreäsaari satama","2025","11","1","11:50","4"
"Oulu Vihreäsaari satama","2025","11","1","12:00","4.2"
"Oulu Vihreäsaari satama","2025","11","1","12:10","4.2"
"Oulu Vihreäsaari satama","2025","11","1","12:20","4.1"
"Oulu Vihreäsaari satama","2025","11","1","12:30","4.1"
"Oulu Vihreäsaari satama","2025","11","1","12:40","4.3"
"Oulu Vihreäsaari satama","2025","11","1","12:50","4.4"
"Oulu Vihreäsaari satama","2025","11","1","13:00","4.3"
"Oulu Vihreäsaari satama","2025","11","1","13:10","4.5"
"Oulu Vihreäsaari satama","2025","11","1","13:20","4.3"
"Oulu Vihreäsaari satama","2025","11","1","13:30","4.2"
"Oulu Vihreäsaari satama","2025","11","1","13:40","4.3"
"Oulu Vihreäsaari satama","2025","11","1","13:50","4.3"
"Oulu Vihreäsaari satama","2025","11","1","14:00","4.5"
"Oulu Vihreäsaari satama","2025","11","1","14:10","4.4"
"Oulu Vihreäsaari satama","2025","11","1","14:20","4.5"
"Oulu Vihreäsaari satama","2025","11","1","14:30","4.4"
"Oulu Vihreäsaari satama","2025","11","1","14:40","4.4"
"Oulu Vihreäsaari satama","2025","11","1","14:50","4.4"
"Oulu Vihreäsaari satama","2025","11","1","15:00","4.4"
"Oulu Vihreäsaari satama","2025","11","1","15:10","4.5"
"Oulu Vihreäsaari satama","2025","11","1","15:20","4.5"
"Oulu Vihreäsaari satama","2025","11","1","15:30","4.3"
"Oulu Vihreäsaari satama","2025","11","1","15:40","4.1"
"Oulu Vihreäsaari satama","2025","11","1","15:50","4.2"
"Oulu Vihreäsaari satama","2025","11","1","16:00","4.4"
"Oulu Vihreäsaari satama","2025","11","1","16:10","4.4"
"Oulu Vihreäsaari satama","2025","11","1","16:20","4.3"
"Oulu Vihreäsaari satama","2025","11","1","16:30","4.3"
"Oulu Vihreäsaari satama","2025","11","1","16:40","3.9"
"Oulu Vihreäsaari satama","2025","11","1","16:50","3.7"
"Oulu Vihreäsaari satama","2025","11","1","17:00","3.7"
"Oulu Vihreäsaari satama","2025","11","1","17:10","3.6"
"Oulu Vihreäsaari satama","2025","11","1","17:20","3.6"
"Oulu Vihreäsaari satama","2025","11","1","17:30","3.6"
"Oulu Vihreäsaari satama","2025","11","1","17:40","3.8"
"Oulu Vihreäsaari satama","2025","11","1","17:50","3.9"
"Oulu Vihreäsaari satama","2025","11","1","18:00","3.9"
"Oulu Vihreäsaari satama","2025","11","1","18:10","3.6"
"Oulu Vihreäsaari satama","2025","11","1","18:20","3.5"
"Oulu Vihreäsaari satama","2025","11","1","18:30","3.5"
"Oulu Vihreäsaari satama","2025","11","1","18:40","3.6"
"Oulu Vihreäsaari satama","2025","11","1","18:50","3.6"
"Oulu Vihreäsaari satama","2025","11","1","19:00","3.7"
"Oulu Vihreäsaari satama","2025","11","1","19:10","3.7"
"Oulu Vihreäsaari satama","2025","11","1","19:20","3.8"
"Oulu Vihreäsaari satama","2025","11","1","19:30","3.9"
"Oulu Vihreäsaari satama","2025","11","1","19:40","3.8"
"Oulu Vihreäsaari satama","2025","11","1","19:50","3.9"
"Oulu Vihreäsaari satama","2025","11","1","20:00","3.9"
"Oulu Vihreäsaari satama","2025","11","1","20:10","3.9"
"Oulu Vihreäsaari satama","2025","11","1","20:20","3.8"
"Oulu Vihreäsaari satama","2025","11","1","20:30","3.8"
"Oulu Vihreäsaari satama","2025","11","1","20:40","3.8"
"Oulu Vihreäsaari satama","2025","11","1","20:50","3.7"
"Oulu Vihreäsaari satama","2025","11","1","21:00","3.6"
"Oulu Vihreäsaari satama","2025","11","1","21:10","3.8"
"Oulu Vihreäsaari satama","2025","11","1","21:20","3.7"
"Oulu Vihreäsaari satama","2025","11","1","21:30","3.8"
"Oulu Vihreäsaari satama","2025","11","1","21:40","3.6"
"Oulu Vihreäsaari satama","2025","11","1","21:50","3.6"
"Oulu Vihreäsaari satama","2025","11","1","22:00","3.8"
"Oulu Vihreäsaari satama","2025","11","1","22:10","3.9"
"Oulu Vihreäsaari satama","2025","11","1","22:20","3.8"
"Oulu Vihreäsaari satama","2025","11","1","22:30","3.8"
"Oulu Vihreäsaari satama","2025","11","1","22:40","3.7"
"Oulu Vihreäsaari satama","2025","11","1","22:50","3.8"
"Oulu Vihreäsaari satama","2025","11","1","23:00","3.8"
"Oulu Vihreäsaari satama","2025","11","1","23:10","3.6"
"Oulu Vihreäsaari satama","2025","11","1","23:20","3.6"
"Oulu Vihreäsaari satama","2025","11","1","23:30","3.4"
"Oulu Vihreäsaari satama","2025","11","1","23:40","3.4"
"Oulu Vihreäsaari satama","2025","11","1","23:50","3.2"
"Oulu Vihreäsaari satama","2025","11","2","00:00","3.3"
"Oulu Vihreäsaari satama","2025","11","2","00:10","3.3"
"Oulu Vihreäsaari satama","2025","11","2","00:20","3.3"
"Oulu Vihreäsaari satama","2025","11","2","00:30","3.3"
"Oulu Vihreäsaari satama","2025","11","2","00:40","3.2"
"Oulu Vihreäsaari satama","2025","11","2","00:50","3.1"
"Oulu Vihreäsaari satama","2025","11","2","01:00","3"
"Oulu Vihreäsaari satama","2025","11","2","01:10","3.1"
"Oulu Vihreäsaari satama","2025","11","2","01:20","2.9"
"Oulu Vihreäsaari satama","2025","11","2","01:30","3"
"Oulu Vihreäsaari satama","2025","11","2","01:40","2.8"
"Oulu Vihreäsaari satama","2025","11","2","01:50","2.9"
"Oulu Vihreäsaari satama","2025","11","2","02:00","2.8"
"Oulu Vihreäsaari satama","2025","11","2","02:10","2.8"
"Oulu Vihreäsaari satama","2025","11","2","02:20","2.8"
"Oulu Vihreäsaari satama","2025","11","2","02:30","2.6"
"Oulu Vihreäsaari satama","2025","11","2","02:40","2.6"
"Oulu Vihreäsaari satama","2025","11","2","02:50","2.6"
"Oulu Vihreäsaari satama","2025","11","2","03:00","2.5"
"Oulu Vihreäsaari satama","2025","11","2","03:10","2.6"
"Oulu Vihreäsaari satama","2025","11","2","03:20","2.5"
"Oulu Vihreäsaari satama","2025","11","2","03:30","2.4"
"Oulu Vihreäsaari satama","2025","11","2","03:40","2.4"
"Oulu Vihreäsaari satama","2025","11","2","03:50","2.3"
"Oulu Vihreäsaari satama","2025","11","2","04:00","2.5"
"Oulu Vihreäsaari satama","2025","11","2","04:10","2.4"
"Oulu Vihreäsaari satama","2025","11","2","04:20","2.4"
"Oulu Vihreäsaari satama","2025","11","2","04:30","2.3"
"Oulu Vihreäsaari satama","2025","11","2","04:40","2.3"
"Oulu Vihreäsaari satama","2025","11","2","04:50","2.4"
"Oulu Vihreäsaari satama","2025","11","2","05:00","2.2"
"Oulu Vihreäsaari satama","2025","11","2","05:10","2.2"
"Oulu Vihreäsaari satama","2025","11","2","05:20","2.3"
"Oulu Vihreäsaari satama","2025","11","2","05:30","2.3"
"Oulu Vihreäsaari satama","2025","11","2","05:40","2.2"
"Oulu Vihreäsaari satama","2025","11","2","05:50","2.3"
"Oulu Vihreäsaari satama","2025","11","2","06:00","2.4"
"Oulu Vihreäsaari satama","2025","11","2","06:10","2.5"
"Oulu Vihreäsaari satama","2025","11","2","06:20","2.6"
"Oulu Vihreäsaari satama","2025","11","2","06:30","2.6"
"Oulu Vihreäsaari satama","2025","11","2","06:40","2.6"
"Oulu Vihreäsaari satama","2025","11","2","06:50","2.6"
"Oulu Vihreäsaari satama","2025","11","2","07:00","2.6"
"Oulu Vihreäsaari satama","2025","11","2","07:10","2.6"
"Oulu Vihreäsaari satama","2025","11","2","07:20","2.6"
"Oulu Vihreäsaari satama","2025","11","2","07:30","2.7"
"Oulu Vihreäsaari satama","2025","11","2","07:40","2.6"
"Oulu Vihreäsaari satama","2025","11","2","07:50","2.7"
"Oulu Vihreäsaari satama","2025","11","2","08:00","2.7"
"Oulu Vihreäsaari satama","2025","11","2","08:10","2.8"
"Oulu Vihreäsaari satama","2025","11","2","08:20","2.8"
"Oulu Vihreäsaari satama","2025","11","2","08:30","2.9"
"Oulu Vihreäsaari satama","2025","11","2","08:40","2.9"
"Oulu Vihreäsaari satama","2025","11","2","08:50","2.9"
"Oulu Vihreäsaari satama","2025","11","2","09:00","3.1"
"Oulu Vihreäsaari satama","2025","11","2","09:10","3"
"Oulu Vihreäsaari satama","2025","11","2","09:20","3"
"Oulu Vihreäsaari satama","2025","11","2","09:30","3"
"Oulu Vihreäsaari satama","2025","11","2","09:40","3"
"Oulu Vihreäsaari satama","2025","11","2","09:50","3"
"Oulu Vihreäsaari satama","2025","11","2","10:00","3.2"
"Oulu Vihreäsaari satama","2025","11","2","10:10","3.1"
"Oulu Vihreäsaari satama","2025","11","2","10:20","3.2"
"Oulu Vihreäsaari satama","2025","11","2","10:30","3.2"
"Oulu Vihreäsaari satama","2025","11","2","10:40","3.3"
"Oulu Vihreäsaari satama","2025","11","2","10:50","3.3"
"Oulu Vihreäsaari satama","2025","11","2","11:00","3.4"
"Oulu Vihreäsaari satama","2025","11","2","11:10","3.4"
"Oulu Vihreäsaari satama","2025","11","2","11:20","3.4"
"Oulu Vihreäsaari satama","2025","11","2","11:30","3.4"
"Oulu Vihreäsaari satama","2025","11","2","11:40","3.4"
"Oulu Vihreäsaari satama","2025","11","2","11:50","3.5"
"Oulu Vihreäsaari satama","2025","11","2","12:00","3.5"
"Oulu Vihreäsaari satama","2025","11","2","12:10","3.6"
"Oulu Vihreäsaari satama","2025","11","2","12:20","3.6"
"Oulu Vihreäsaari satama","2025","11","2","12:30","3.7"
"Oulu Vihreäsaari satama","2025","11","2","12:40","3.7"
"Oulu Vihreäsaari satama","2025","11","2","12:50","3.7"
"Oulu Vihreäsaari satama","2025","11","2","13:00","3.7"
"Oulu Vihreäsaari satama","2025","11","2","13:10","3.8"
"Oulu Vihreäsaari satama","2025","11","2","13:20","3.9"
"Oulu Vihreäsaari satama","2025","11","2","13:30","3.9"
"Oulu Vihreäsaari satama","2025","11","2","13:40","3.9"
"Oulu Vihreäsaari satama","2025","11","2","13:50","4"
"Oulu Vihreäsaari satama","2025","11","2","14:00","4"
"Oulu Vihreäsaari satama","2025","11","2","14:10","4"
"Oulu Vihreäsaari satama","2025","11","2","14:20","4.1"
"Oulu Vihreäsaari satama","2025","11","2","14:30","4.1"
"Oulu Vihreäsaari satama","2025","11","2","14:40","4.2"
"Oulu Vihreäsaari satama","2025","11","2","14:50","4.2"
"Oulu Vihreäsaari satama","2025","11","2","15:00","4.3"
"Oulu Vihreäsaari satama","2025","11","2","15:10","4.3"
"Oulu Vihreäsaari satama","2025","11","2","15:20","4.3"
"Oulu Vihreäsaari satama","2025","11","2","15:30","4.4"
"Oulu Vihreäsaari satama","2025","11","2","15:40","4.3"
"Oulu Vihreäsaari satama","2025","11","2","15:50","4.4"
"Oulu Vihreäsaari satama","2025","11","2","16:00","4.4"
"Oulu Vihreäsaari satama","2025","11","2","16:10","4.4"
"Oulu Vihreäsaari satama","2025","11","2","16:20","4.5"
"Oulu Vihreäsaari satama","2025","11","2","16:30","4.5"
"Oulu Vihreäsaari satama","2025","11","2","16:40","4.6"
"Oulu Vihreäsaari satama","2025","11","2","16:50","4.6"
"Oulu Vihreäsaari satama","2025","11","2","17:00","4.6"
"Oulu Vihreäsaari satama","2025","11","2","17:10","4.7"
"Oulu Vihreäsaari satama","2025","11","2","17:20","4.7"
"Oulu Vihreäsaari satama","2025","11","2","17:30","4.6"
"Oulu Vihreäsaari satama","2025","11","2","17:40","4.6"
"Oulu Vihreäsaari satama","2025","11","2","17:50","4.5"
"Oulu Vihreäsaari satama","2025","11","2","18:00","4.5"
"Oulu Vihreäsaari satama","2025","11","2","18:10","4.5"
"Oulu Vihreäsaari satama","2025","11","2","18:20","4.5"
"Oulu Vihreäsaari satama","2025","11","2","18:30","4.4"
"Oulu Vihreäsaari satama","2025","11","2","18:40","4.4"
"Oulu Vihreäsaari satama","2025","11","2","18:50","4.5"
"Oulu Vihreäsaari satama","2025","11","2","19:00","4.5"
"Oulu Vihreäsaari satama","2025","11","2","19:10","4.5"
"Oulu Vihreäsaari satama","2025","11","2","19:20","4.5"
"Oulu Vihreäsaari satama","2025","11","2","19:30","4.6"
"Oulu Vihreäsaari satama","2025","11","2","19:40","4.6"
"Oulu Vihreäsaari satama","2025","11","2","19:50","4.7"
"Oulu Vihreäsaari satama","2025","11","2","20:00","4.7"
"Oulu Vihreäsaari satama","2025","11","2","20:10","4.8"
"Oulu Vihreäsaari satama","2025","11","2","20:20","4.8"
"Oulu Vihreäsaari satama","2025","11","2","20:30","4.9"
"Oulu Vihreäsaari satama","2025","11","2","20:40","5"
"Oulu Vihreäsaari satama","2025","11","2","20:50","5"
"Oulu Vihreäsaari satama","2025","11","2","21:00","5.1"
"Oulu Vihreäsaari satama","2025","11","2","21:10","5.1"
"Oulu Vihreäsaari satama","2025","11","2","21:20","5.2"
"Oulu Vihreäsaari satama","2025","11","2","21:30","5.2"
"Oulu Vihreäsaari satama","2025","11","2","21:40","5.2"
"Oulu Vihreäsaari satama","2025","11","2","21:50","5.2"
"Oulu Vihreäsaari satama","2025","11","2","22:00","5.2"
"Oulu Vihreäsaari satama","2025","11","2","22:10","5.2"
"Oulu Vihreäsaari satama","2025","11","2","22:20","5.2"
"Oulu Vihreäsaari satama","2025","11","2","22:30","5.3"
"Oulu Vihreäsaari satama","2025","11","2","22:40","5.3"
"Oulu Vihreäsaari satama","2025","11","2","22:50","5.4"
"Oulu Vihreäsaari satama","2025","11","2","23:00","5.4"
"Oulu Vihreäsaari satama","2025","11","2","23:10","5.4"
"Oulu Vihreäsaari satama","2025","11","2","23:20","5.4"
"Oulu Vihreäsaari satama","2025","11","2","23:30","5.4"
"Oulu Vihreäsaari satama","2025","11","2","23:40","5.4"
"Oulu Vihreäsaari satama","2025","11","2","23:50","5.4"
"Oulu Vihreäsaari satama","2025","11","3","00:00","5.4"
"Oulu Vihreäsaari satama","2025","11","3","00:10","5.4"
"Oulu Vihreäsaari satama","2025","11","3","00:20","5.4"
"Oulu Vihreäsaari satama","2025","11","3","00:30","5.3"
"Oulu Vihreäsaari satama","2025","11","3","00:40","5.3"
"Oulu Vihreäsaari satama","2025","11","3","00:50","5.2"
"Oulu Vihreäsaari satama","2025","11","3","01:00","5.2"
"Oulu Vihreäsaari satama","2025","11","3","01:10","5.2"
"Oulu Vihreäsaari satama","2025","11","3","01:20","5.2"
"Oulu Vihreäsaari satama","2025","11","3","01:30","5.1"
"Oulu Vihreäsaari satama","2025","11","3","01:40","5.1"
"Oulu Vihreäsaari satama","2025","11","3","01:50","5.1"
"Oulu Vihreäsaari satama","2025","11","3","02:00","5.2"
"Oulu Vihreäsaari satama","2025","11","3","02:10","5.2"
"Oulu Vihreäsaari satama","2025","11","3","02:20","5.2"
"Oulu Vihreäsaari satama","2025","11","3","02:30","5.3"
"Oulu Vihreäsaari satama","2025","11","3","02:40","5.3"
"Oulu Vihreäsaari satama","2025","11","3","02:50","5.2"
"Oulu Vihreäsaari satama","2025","11","3","03:00","5.3"
"Oulu Vihreäsaari satama","2025","11","3","03:10","5.3"
"Oulu Vihreäsaari satama","2025","11","3","03:20","5.2"
"Oulu Vihreäsaari satama","2025","11","3","03:30","5.2"
"Oulu Vihreäsaari satama","2025","11","3","03:40","5.2"
"Oulu Vihreäsaari satama","2025","11","3","03:50","5.3"
"Oulu Vihreäsaari satama","2025","11","3","04:00","5.3"
"Oulu Vihreäsaari satama","2025","11","3","04:10","5.3"
"Oulu Vihreäsaari satama","2025","11","3","04:20","5.4"
"Oulu Vihreäsaari satama","2025","11","3","04:30","5.4"
"Oulu Vihreäsaari satama","2025","11","3","04:40","5.3"
"Oulu Vihreäsaari satama","2025","11","3","04:50","5.3"
"Oulu Vihreäsaari satama","2025","11","3","05:00","5.3"
"Oulu Vihreäsaari satama","2025","11","3","05:10","5.3"
"Oulu Vihreäsaari satama","2025","11","3","05:20","5.3"
"Oulu Vihreäsaari satama","2025","11","3","05:30","5.3"
"Oulu Vihreäsaari satama","2025","11","3","05:40","5.3"
"Oulu Vihreäsaari satama","2025","11","3","05:50","5.3"
"Oulu Vihreäsaari satama","2025","11","3","06:00","5.3"
"Oulu Vihreäsaari satama","2025","11","3","06:10","5.3"
"Oulu Vihreäsaari satama","2025","11","3","06:20","5.4"
"Oulu Vihreäsaari satama","2025","11","3","06:30","5.4"
"Oulu Vihreäsaari satama","2025","11","3","06:40","5.4"
"Oulu Vihreäsaari satama","2025","11","3","06:50","5.3"
"Oulu Vihreäsaari satama","2025","11","3","07:00","5.3"
"Oulu Vihreäsaari satama","2025","11","3","07:10","5.4"
"Oulu Vihreäsaari satama","2025","11","3","07:20","5.4"
"Oulu Vihreäsaari satama","2025","11","3","07:30","5.4"
"Oulu Vihreäsaari satama","2025","11","3","07:40","5.4"
"Oulu Vihreäsaari satama","2025","11","3","07:50","5.4"
"Oulu Vihreäsaari satama","2025","11","3","08:00","5.5"
"Oulu Vihreäsaari satama","2025","11","3","08:10","5.5"
"Oulu Vihreäsaari satama","2025","11","3","08:20","5.5"
"Oulu Vihreäsaari satama","2025","11","3","08:30","5.5"
"Oulu Vihreäsaari satama","2025","11","3","08:40","5.5"
"Oulu Vihreäsaari satama","2025","11","3","08:50","5.6"
"Oulu Vihreäsaari satama","2025","11","3","09:00","5.6"
"Oulu Vihreäsaari satama","2025","11","3","09:10","5.6"
"Oulu Vihreäsaari satama","2025","11","3","09:20","5.6"
"Oulu Vihreäsaari satama","2025","11","3","09:30","5.6"
"Oulu Vihreäsaari satama","2025","11","3","09:40","5.6"
"Oulu Vihreäsaari satama","2025","11","3","09:50","5.7"
"Oulu Vihreäsaari satama","2025","11","3","10:00","5.7"
"Oulu Vihreäsaari satama","2025","11","3","10:10","5.7"
"Oulu Vihreäsaari satama","2025","11","3","10:20","5.8"
"Oulu Vihreäsaari satama","2025","11","3","10:30","5.9"
"Oulu Vihreäsaari satama","2025","11","3","10:40","5.9"
"Oulu Vihreäsaari satama","2025","11","3","10:50","5.9"
"Oulu Vihreäsaari satama","2025","11","3","11:00","6"
"Oulu Vihreäsaari satama","2025","11","3","11:10","6.1"
"Oulu Vihreäsaari satama","2025","11","3","11:20","6.1"
"Oulu Vihreäsaari satama","2025","11","3","11:30","6.1"
"Oulu Vihreäsaari satama","2025","11","3","11:40","6.2"
"Oulu Vihreäsaari satama","2025","11","3","11:50","6.2"
"Oulu Vihreäsaari satama","2025","11","3","12:00","6.4"
"Oulu Vihreäsaari satama","2025","11","3","12:10","6.5"
"Oulu Vihreäsaari satama","2025","11","3","12:20","6.6"
"Oulu Vihreäsaari satama","2025","11","3","12:30","6.7"
"Oulu Vihreäsaari satama","2025","11","3","12:40","6.8"
"Oulu Vihreäsaari satama","2025","11","3","12:50","6.7"
"Oulu Vihreäsaari satama","2025","11","3","13:00","6.8"
"Oulu Vihreäsaari satama","2025","11","3","13:10","6.8"
"Oulu Vihreäsaari satama","2025","11","3","13:20","6.7"
"Oulu Vihreäsaari satama","2025","11","3","13:30","6.8"
"Oulu Vihreäsaari satama","2025","11","3","13:40","6.8"
"Oulu Vihreäsaari satama","2025","11","3","13:50","6.8"
"Oulu Vihreäsaari satama","2025","11","3","14:00","6.8"
"Oulu Vihreäsaari satama","2025","11","3","14:10","6.8"
"Oulu Vihreäsaari satama","2025","11","3","14:20","6.7"
"Oulu Vihreäsaari satama","2025","11","3","14:30","6.8"
"Oulu Vihreäsaari satama","2025","11","3","14:40","6.8"
"Oulu Vihreäsaari satama","2025","11","3","14:50","6.9"
"Oulu Vihreäsaari satama","2025","11","3","15:00","6.9"
"Oulu Vihreäsaari satama","2025","11","3","15:10","6.9"
"Oulu Vihreäsaari satama","2025","11","3","15:20","7"
"Oulu Vihreäsaari satama","2025","11","3","15:30","6.9"
"Oulu Vihreäsaari satama","2025","11","3","15:40","6.8"
"Oulu Vihreäsaari satama","2025","11","3","15:50","6.8"
